Date,artistid,venueid,concertid
2017-06-24,163,10,246
2017-06-25,162,33,247
2017-06-26,161,22,248
2017-06-30,159,3,249
2017-07-04,156,19,250
2017-07-05,156,22,251
2017-07-06,72,32,252
2017-07-07,146,32,253
2017-07-08,142,32,254
2017-07-13,122,30,255
2017-07-14,128,30,256
2017-07-15,119,30,257
2017-07-18,118,18,258
2017-07-26,117,11,259
2017-07-29,116,4,260
2017-08-13,115,29,261
2017-08-17,114,10,262
2017-08-26,105,28,263
2017-09-01,104,27,264
2017-09-16,102,26,265
2017-09-17,97,25,266
2017-09-25,96,24,267
2017-09-26,96,24,268
2017-10-06,91,23,269
2017-10-07,91,23,270
2017-10-11,89,10,271
2017-10-14,86,10,272
2017-10-17,84,10,273
2017-10-18,83,21,274
2017-10-19,82,11,275
2017-10-20,78,20,276
2017-10-27,76,11,277
2017-10-28,72,18,278
2017-10-29,70,10,279
2017-10-30,69,11,280
2017-10-31,67,1,281
2017-11-01,66,15,282
2017-11-02,61,6,283
2017-11-03,65,3,284
2017-11-04,60,3,285
2017-11-08,59,13,286
2017-11-12,54,1,287
2017-11-14,53,11,288
2017-11-16,51,3,289
2017-11-17,49,10,290
2017-11-18,48,10,291
2017-11-19,47,11,292
2017-11-20,45,10,293
2017-11-21,42,9,294
2017-11-23,41,8,295
2017-11-25,14,7,296
2017-11-28,13,4,297
2017-11-30,8,4,298
2017-12-02,7,4,299
2017-12-03,3,3,300
2017-12-04,2,2,301
2017-12-10,1,1,302
